Ch01_fa67753,DO favor clarity over brevity when naming identifiers.
Ch09_8e0df53,"CONSIDER adding new members to existing enums, but keep in mind the compatibility risk."
Ch09_948435c,"AVOID creating enums that represent an “incomplete” set of values, such as product version numbers."
Ch09_e58a37a,AVOID creating “reserved for future use” values in an enum.
Ch09_56e3511,AVOID enums that contain a single value.
Ch09_084dc7e,"DO provide a value of 0 (none) for simple enums, knowing that 0 will be the default value when no explicit initialization is provided."
Ch09_2520f44,AVOID direct enum/string conversions where the string must be localized into the user’s language.
Ch09_43c9c84,DO use the FlagsAttribute to mark enums that contain flags.
Ch09_7c07904,DO provide a None value equal to 0 for all flag enums.
Ch09_827f8ac,AVOID creating flag enums where the zero value has a meaning other than “no flags are set.”
Ch09_9e506b3,CONSIDER providing special values for commonly used combinations of flags.
Ch09_f056c5a,DO NOT include “sentinel” values (such as a value called Maximum); such values can be confusing to the user.
Ch09_5d8b32c,DO use powers of 2 to ensure that all flag combinations are represented uniquely.
Ch09_14bf8c0,"DO NOT define a struct unless it logically represents a single value, consumes 16 bytes or less of storage, is immutable, and is infrequently boxed."
Ch10_7661f0c,DO override ToString() whenever useful developer-oriented diagnostic strings can be returned.
Ch10_b125c4e,CONSIDER trying to keep the string returned from ToString() short.
Ch10_a98f6db,DO NOT return an empty string or null from ToString().
Ch10_0b65a4d,DO NOT throw exceptions or make observable side effects (change the object state) from ToString().
Ch10_c638106,"DO provide an overloaded ToString(string format) or implement IFormattable if the return value requires formatting or is culture-sensitive (e.g., DateTime)."
Ch10_a41d70f,CONSIDER returning a unique string from ToString() so as to identify the object instance.
Ch10_749ad2d,"DO implement GetHashCode(), Equals(), the == operator, and the != operator together—not one of these without the other three."
Ch10_136942b,"DO use the same algorithm when implementing Equals(), ==, and !=."
Ch10_5429af2,"DO NOT throw exceptions from implementations of GetHashCode(), Equals(), ==, and !=."
Ch10_7826428,AVOID overriding the equality-related members on mutable reference types or if the implementation would be significantly slower with such overriding.
Ch10_9cf0c87,DO implement all the equality-related methods when implementing IEquitable.
Ch10_b8593fd,AVOID using the equality comparison operator (==) from within the implementation of the == operator overload.
Ch10_d8d1076,DO NOT provide an implicit conversion operator if the conversion is lossy.
Ch10_28104b3,DO NOT throw exceptions from implicit conversions.
Ch10_ba9f7e8,DO prefix namespace names with a company name to prevent namespaces from different companies having the same name.
Ch10_2c093db,"DO use a stable, version-independent product name at the second level of a namespace name."
Ch10_27e68dd,DO NOT define types without placing them into a namespace.
Ch10_33ecc69,CONSIDER creating a folder structure that matches the namespace hierarchy.
Ch10_c7bb898,"DO provide XML comments on public APIs when they provide more context than the API signature alone. This includes member descriptions, parameter descriptions, and examples of calling the API."
Ch10_171b873,DO implement the dispose pattern on objects with resources that are scarce or expensive.
Ch10_6d5f8a9,DO implement IDisposable to support possible deterministic finalization on classes with finalizers.
Ch10_b8dfdee,DO implement finalizer methods only on objects with resources that don't have finalizers but still require cleanup.
Ch10_a5d592f,"DO refactor a finalization method to call the same code as IDisposable, perhaps simply by calling the Dispose() method."
Ch10_b6bd319,DO NOT throw exceptions from finalizer methods.
Ch10_0cefa84,CONSIDER registering the finalization code with the AppDomain.ProcessExit to increase the probability that resource cleanup will execute before the process exits.
Ch10_f1dff25,DO unregister any AppDomain.ProcessExit events during dispose.
Ch10_6072ffe,DO call System.GC.SuppressFinalize() from Dispose() to avoid repeating resource cleanup and delaying garbage collection on an object.
Ch10_70107cb,DO ensure that Dispose() is idempotent (it should be possible to call Dispose() multiple times).
Ch10_ce375e1,"DO keep Dispose() simple, focusing on the resource cleanup required by finalization."
Ch10_721d2d0,"AVOID calling Dispose() on owned objects that have a finalizer. Instead, rely on the finalization queue to clean up the instance."
Ch10_c973d64,AVOID referencing other objects that are not being finalized during finalization.
Ch10_379a090,DO invoke a base class’s Dispose() method when overriding Dispose().
Ch10_6eeac15,"CONSIDER ensuring that an object becomes unusable after Dispose() is called. After an object has been disposed, methods other than Dispose() (which could potentially be called multiple times) should throw an ObjectDisposedException."
Ch10_eb80d35,DO implement IDisposable on types that own disposable fields (or properties) and dispose of those instances.
Ch10_9c47064,DO invoke a base class’s Dispose() method from the Dispose(bool disposing) method if one exists.
Ch11_50d397c,"DO throw an ArgumentException or one of its subtypes if bad arguments are passed to a member. Prefer the most derived exception type (e.g., ArgumentNullException), if applicable."
Ch11_9e46f7d,DO NOT throw a System.SystemException or an exception type that derives from it.
Ch11_19f82ab,"DO NOT throw a System.Exception, System.NullReferenceException, or System.ApplicationException."
Ch11_562d79e,CONSIDER terminating the process by calling System.Environment.FailFast() if the program encounters a scenario where it is unsafe to continue execution.
Ch11_48148c5,"DO use nameof for the paramName argument passed into argument exception types that take such a parameter. Examples of such exceptions include ArgumentException, ArgumentOutOfRangeException, and ArgumentNullException."
Ch11_459fe70,AVOID exception reporting or logging lower in the call stack.
Ch11_38306c8,DO NOT over-catch. Exceptions should be allowed to propagate up the call stack unless it is clearly understood how to programmatically address those errors lower in the stack.
Ch11_053fd15,CONSIDER catching a specific exception when you understand why it was thrown in a given context and can respond to the failure programmatically.
Ch11_178723a,AVOID catching System.Exception or System.SystemException except in top-level exception handlers that perform final cleanup operations before rethrowing the exception.
Ch11_dc686f7,DO use throw; rather than throw <exception object> inside a catch block.
Ch11_e13bc5d,DO use exception filters to avoid rethrowing an exception from within a catch block.
Ch11_16109eb,DO use caution when rethrowing different exceptions.
Ch11_f344253,AVOID throwing exceptions from exception filters.
Ch11_e579bf2,AVOID exception filters with logic that might implicitly change over time.
Ch11_91217b6,AVOID deep exception hierarchies.
Ch11_a83c648,DO NOT create a new exception type if the exception would not be handled differently than an existing CLR exception. Throw the existing framework exception instead.
Ch11_e75c200,DO create a new exception type to communicate a unique program error that cannot be communicated using an existing CLR exception and that can be programmatically handled in a different way than any other existing CLR exception type.
Ch11_7d0b05f,DO provide a parameterless constructor on all custom exception types. Also provide constructors that take a message and an inner exception.
Ch11_72171bd,DO name an exception classes with the “Exception” suffix.
Ch11_7309f6e,DO make exceptions runtime-serializable.
Ch11_057c0a8,CONSIDER providing exception properties for programmatic access to extra information relevant to the exception.
Ch11_512703a,CONSIDER wrapping specific exceptions thrown from the lower layer in a more appropriate exception if the lower-layer exception does not make sense in the context of the higher-layer operation.
Ch11_d29c49b,DO specify the inner exception when wrapping exceptions.
Ch11_6ff45fe,"DO target developers as the audience for exceptions, identifying both the problem and the mechanism to resolve it, where possible."
Ch12_d63cfac,DO choose meaningful names for type parameters and prefix the name with T.
Ch12_f7a7df9,CONSIDER indicating a constraint in the name of a type parameter.
Ch12_26081fd,AVOID implementing multiple constructions of the same generic interface in one type.
Ch12_63ec27c,DO place multiple generic semantically equivalent classes into a single file if they differ only by the number of generic parameters.
Ch12_a1a1eb0,AVOID shadowing a type parameter of an outer type with an identically named type parameter of a nested type.
Ch12_f8fe6d3,AVOID misleading the caller with generic methods that are not as type-safe as they appear.
Ch12_7ae535f,"AVOID unsafe array covariance. Instead, CONSIDER converting the array to the read-only interface IEnumerable<T>, which can be safely converted via covariant conversions."
Ch13_db6bb7b,CONSIDER whether the readability benefit of defining your own delegate type outweighs the convenience of using a predefined generic delegate type.
Ch13_5f2d963,CONSIDER omitting the types from lambda formal parameter lists when the types are obvious to the reader or when they are an insignificant detail.
Ch13_7ad5d4f,AVOID the anonymous method syntax in new code; prefer the more compact lambda expression syntax.
Ch13_103f552,AVOID capturing loop variables in anonymous functions.
Ch14_b2a62ce,DO check that the value of a delegate is not null before invoking it.
Ch14_23f8f10,DO use the null-conditional operator prior to calling Invoke() starting in C# 6.0.
Ch14_2d388a8,DO check that the value of a delegate is not null before invoking it (possibly by using the null-conditional operator in C# 6.0).
Ch14_85ed8e8,DO pass the instance of the class as the value of the sender for nonstatic events.
Ch14_ae089de,DO pass null as the sender for static events.
Ch14_10fc803,DO NOT pass null as the value of the eventArgs argument.
Ch14_542dc4a,DO use System.EventArgs or a type that derives from System.EventArgs for a TEventArgs type.
Ch14_0814846,CONSIDER using a subclass of System.EventArgs as the event argument type (TEventArgs) unless you are sure the event will never need to carry any data.
Ch14_66d4360,CONSIDER using System.EventHandler<T> instead of manually creating new delegate types for event handlers unless the parameter names of a custom type offer significant clarification.
Ch15_ecf21c1,DO use System.Linq.Enumerable.Any() rather than calling patents.Count() when checking whether there are more than zero items.
Ch15_322a2fc,DO use a collection’s Count property (if available) instead of calling the System.Linq.Enumerable.Count() method.
Ch15_e24a391,DO NOT call an OrderBy() following a prior OrderBy() method call. Use ThenBy() to sequence items by more than one value.
Ch16_25d5f4b,"DO use query expression syntax to make queries easier to read, particularly if they involve complex from, let, join, or group clauses."
Ch16_7a93cc2,"CONSIDER using the standard query operators (method call form) if the query involves operations that do not have a query expression syntax, such as Count(), TakeWhile(), or Distinct()."
Ch17_2fa7033,DO ensure that custom comparison logic produces a consistent “total order.”
Ch17_51d3f5a,"DO NOT make any unwarranted assumptions about the order in which elements of a collection will be enumerated. If the collection is not documented as enumerating its elements in a particular order, it is not guaranteed to produce elements in any particula"
Ch17_22f08bd,DO NOT represent an empty collection with a null reference.
Ch17_eb87d99,CONSIDER using the Enumerable.Empty<T>() method instead.
Ch17_94b204b,CONSIDER using nonrecursive algorithms when iterating over potentially deep data structures.
Ch18_c57b9f2,DO apply AssemblyVersionAttribute to assemblies with public types.
Ch18_f6ef976,CONSIDER applying AssemblyFileVersionAttribute and AssemblyCopyrightAttribute to provide additional information about the assembly.
Ch18_9f8635e,"DO apply the following information assembly attributes: System.Reflection.AssemblyCompanyAttribute, System.Reflection.AssemblyCopyrightAttribute, System.Reflection.AssemblyDescriptionAttribute, and System.Reflection.AssemblyProductAttribute."
Ch18_097597f,DO name custom attribute classes with the suffix Attribute.
Ch18_437d502,DO provide get-only properties (without public setters) on attributes with required property values.
Ch18_fe88029,DO provide constructor parameters to initialize properties on attributes with required properties. Each parameter should have the same name (albeit with different casing) as the corresponding property.
Ch18_c521414,"AVOID providing constructor parameters to initialize attribute properties corresponding to the optional arguments (and, therefore, avoid overloading custom attribute constructors)."
Ch18_88b8c3f,DO apply the AttributeUsageAttribute class to custom attributes.
Ch19_6c5204b,DO NOT fall into the common error of believing that more threads always make code faster.
Ch19_5abf72f,DO carefully measure performance when attempting to speed up processor-bound problems through multithreading.
Ch19_97d9a96,DO NOT make an unwarranted assumption that any operation that is seemingly atomic in single-threaded code will be atomic in multithreaded code.
Ch19_c8fcebe,DO NOT assume that all threads will observe all side effects of operations on shared memory in a consistent order.
Ch19_94ff01d,DO ensure that code that concurrently acquires multiple locks always acquires them in the same order.
Ch19_034fe74,"AVOID all race conditions—that is, conditions where program behavior depends on how the operating system chooses to schedule threads."
Ch19_9711830,AVOID writing programs that produce unhandled exceptions on any thread.
Ch19_aff6b2e,"CONSIDER registering an unhandled exception event handler for debugging, logging, and emergency shutdown purposes."
Ch19_8b96366,DO cancel unfinished tasks rather than allowing them to run during application shutdown.
Ch19_6e053f2,DO cancel unfinished tasks rather than allowing them to run during application shutdown.
Ch19_f2a5068,DO inform the task factory that a newly created task is likely to be long-running so that it can manage it appropriately.
Ch19_44cb7d4,DO use TaskCreationOptions.LongRunning sparingly.
Ch19_fe1f04f,AVOID calling Thread.Sleep() in production code.
Ch19_16b2610,DO use tasks and related APIs in favor of System.Theading classes such as Thread and ThreadPool.
Ch21_9124902,DO use parallel loops when the computations performed can be easily split up into many mutually independent processor-bound computations that can be executed in any order on any thread.
Ch22_b2bb25c,"AVOID locking on this, System.Type, or a string."
Ch22_607ab99,"DO declare a separate, read-only synchronization variable of type object for the synchronization target."
Ch22_a6a166e,AVOID using the MethodImplAttribute for synchronization.
Ch22_0b2166b,DO NOT request exclusive ownership of the same two or more synchronization targets in different orders.
Ch22_6bdd827,DO ensure that code that concurrently holds multiple locks always acquires them in the same order.
Ch22_08a5bae,DO encapsulate mutable static data in public APIs with synchronization logic.
Ch22_255454e,"AVOID synchronization on simple reading or writing of values no bigger than a native (pointer-size) integer, as such operations are automatically atomic."
Ch23_8c46517,"DO create public managed wrappers around unmanaged methods that use the conventions of managed code, such as structured exception handling."
Ch23_701f434,DO NOT unnecessarily replicate existing managed classes that already perform the function of the unmanaged API.
Ch23_82d7b26,DO declare extern methods as private or internal.
Ch23_f3b60a5,"DO provide public wrapper methods that use managed conventions such as structured exception handling, use of enums for special values, and so on."
Ch23_820f1d7,DO simplify the wrapper methods by choosing default values for unnecessary parameters.
Ch23_20f7961,DO use the SetLastErrorAttribute on Windows to turn APIs that use SetLastError error codes into methods that throw Win32Exception.
Ch23_6c3bec6,DO extend SafeHandle or implement IDisposable and create a finalizer to ensure that unmanaged resources can be cleaned up effectively.
Ch23_90adcd5,DO use delegate types that match the signature of the desired method when an unmanaged API requires a function pointer.
Ch23_f0389b6,DO use ref parameters rather than pointer types when possible.
